               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  32,            0.044831,           0.0013872,                   0,              0.6357,             0.60086,             0.57147,             0.22092,            0.047561,          0.00084814,                   0,          0.00082483,          0.00082483,          0.00082483
                  33,            0.044918,           0.0013605,                   0,             0.65195,             0.69943,             0.62835,             0.24525,            0.046517,          0.00085798,                   0,          0.00081433,          0.00081433,          0.00081433
                  34,            0.045005,           0.0014207,                   0,             0.70125,             0.60446,             0.60614,             0.24126,            0.047177,          0.00089921,                   0,          0.00080362,          0.00080362,          0.00080362
                  35,            0.044714,           0.0013704,                   0,             0.64821,             0.64378,              0.5699,             0.21092,            0.047793,          0.00085313,                   0,           0.0007927,           0.0007927,           0.0007927
                  36,             0.04466,           0.0013554,                   0,             0.66505,             0.65616,             0.58779,             0.23985,            0.046749,          0.00082229,                   0,           0.0007816,           0.0007816,           0.0007816
                  37,            0.044119,           0.0013424,                   0,             0.70039,             0.62232,             0.62346,             0.23739,            0.045499,            0.000838,                   0,          0.00077031,          0.00077031,          0.00077031
                  38,            0.044135,           0.0013258,                   0,             0.61024,             0.60477,             0.58197,             0.23146,            0.048108,          0.00085543,                   0,          0.00075886,          0.00075886,          0.00075886
                  39,            0.044769,           0.0013513,                   0,             0.67604,             0.60086,             0.60726,             0.24256,            0.045611,          0.00082513,                   0,          0.00074725,          0.00074725,          0.00074725
                  40,            0.044612,           0.0013106,                   0,             0.66628,             0.57511,             0.56707,             0.24901,            0.045733,          0.00082858,                   0,           0.0007355,           0.0007355,           0.0007355
                  41,            0.043087,           0.0013057,                   0,             0.60142,             0.68646,             0.60267,             0.21504,             0.04754,          0.00082899,                   0,          0.00072361,          0.00072361,          0.00072361
