   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,         center_crop,             anchors
             0.69188,             0.61678,              0.6545,             0.26637,            0.037963,          0.00098996,                   0,             0.00079,              0.2353,             0.88586,             0.00031,              2.4979,             0.93541,             0.07885,             0.03998,             0.27303,              1.2024,             0.55577,             0.83042,                 0.2,              4.2633,                   0,                 0.1,             0.37018,              0.4808,             0.17929,                   0,             0.39141,                   0,                   0,                   0,                 0.5,             0.81392,             0.24592,             0.09836,                   1,              2.7183
             0.68132,             0.67382,             0.66562,              0.2853,             0.03387,          0.00073603,                   0,             0.00077,             0.25846,             0.83815,             0.00033,               2.006,                0.95,             0.09246,             0.03807,             0.29033,              1.1944,             0.48519,             0.74429,                 0.2,              3.7423,                   0,             0.08016,              0.3873,             0.27074,             0.20846,                   0,             0.39021,                   0,                   0,                   0,                 0.5,              0.8413,             0.24151,             0.11339,                   1,              3.0861
             0.73418,             0.71245,              0.7219,             0.28833,            0.041984,            0.001132,                   0,             0.00072,             0.25363,             0.96891,             0.00058,              3.2245,              0.8503,             0.09769,             0.04501,             0.26235,              1.1077,             0.39636,              1.1231,                 0.2,              3.7834,                   0,                 0.1,             0.35203,             0.50794,             0.18008,                   0,             0.41354,                   0,                   0,                   0,                 0.5,             0.88022,             0.20672,             0.12275,                   1,              4.5567
              0.7276,              0.6993,             0.68672,             0.27807,            0.041206,           0.0011866,                   0,             0.00067,             0.22423,             0.92014,             0.00043,              3.9263,             0.75661,             0.11783,             0.04226,             0.25855,              1.0482,             0.51401,             0.87037,                 0.2,              3.6468,                   0,             0.08557,             0.29466,              0.4209,             0.16723,                   0,             0.35647,                   0,                   0,                   0,                 0.5,              0.9293,                 0.2,             0.11498,                   1,              4.6126
             0.71151,             0.64807,             0.65026,             0.25837,            0.041676,          0.00074946,                   0,             0.00072,             0.19556,             0.92471,             0.00046,              3.9263,             0.70954,             0.11098,             0.04442,             0.27966,              1.0184,             0.46362,             0.84709,                 0.2,              3.5645,                   0,             0.08998,             0.25382,             0.41842,             0.17496,                   0,             0.32484,                   0,                   0,                   0,                 0.5,             0.98107,             0.16968,             0.12716,                   1,              4.3051
             0.65516,             0.65234,             0.59129,             0.25239,            0.046763,            0.001188,                   0,             0.00068,             0.25363,             0.95953,             0.00057,              3.1662,             0.82985,             0.10743,             0.04782,             0.24457,              1.1077,             0.39636,              1.2111,                 0.2,              3.7241,                   0,                 0.1,             0.36093,             0.50234,             0.18008,                   0,             0.40004,                   0,                   0,                   0,                 0.5,             0.88022,             0.20337,             0.11936,                   1,              4.6634
             0.68146,             0.65236,             0.61904,             0.24886,            0.039629,          0.00089498,                   0,             0.00064,             0.22423,             0.93924,             0.00045,              3.7728,             0.76693,             0.12363,             0.04226,             0.25855,              1.0482,             0.54251,               0.904,                 0.2,              3.6468,                   0,             0.07997,             0.26482,             0.33884,             0.16253,                   0,             0.33539,                   0,                   0,                   0,                 0.5,              0.9293,             0.19646,             0.10956,                   1,              2.5838
             0.74476,             0.63948,             0.63959,             0.26924,            0.042365,           0.0011969,                   0,             0.00072,             0.25363,                0.98,             0.00055,              3.1966,              0.8503,             0.09877,             0.04428,             0.25447,              1.1178,             0.39636,              1.1371,                 0.2,              3.6811,                   0,             0.09428,             0.35295,             0.49972,             0.18056,                   0,             0.39937,                   0,                   0,                   0,                 0.5,             0.88987,             0.21879,             0.12486,                   1,              4.5567
             0.68101,             0.64378,             0.61166,             0.25449,            0.043605,          0.00068473,                   0,              0.0007,             0.22627,             0.86534,             0.00039,              4.2636,             0.67158,             0.12394,              0.0455,             0.25855,              1.0317,             0.44556,             0.79304,                 0.2,              3.6223,                   0,             0.08353,             0.30319,             0.45637,             0.15867,                   0,             0.34238,                   0,                   0,                   0,                 0.5,                   1,              0.1833,             0.12681,                   1,              3.9398
             0.67948,             0.68239,              0.6374,             0.25248,            0.033392,          0.00075512,                   0,             0.00067,             0.22423,             0.90321,             0.00029,              3.5766,             0.52432,             0.12375,             0.04031,             0.23481,              1.0482,             0.61382,             0.82336,                 0.2,              2.7225,                   0,             0.08557,             0.33756,             0.39058,             0.18364,                   0,             0.37536,                   0,                   0,                   0,                 0.5,               0.765,                 0.2,             0.11498,                   1,              2.5448
             0.67824,             0.66948,             0.59879,             0.22875,            0.042983,            0.001246,                   0,             0.00074,             0.24255,             0.92014,             0.00041,              3.9263,             0.75661,             0.11783,             0.04186,             0.26979,              1.0328,              0.5524,             0.83531,                 0.2,              3.8876,                   0,             0.08191,             0.29466,              0.4276,             0.17678,                   0,             0.37341,                   0,                   0,                   0,                 0.5,             0.98205,             0.21406,             0.11784,                   1,              4.6126
             0.69845,             0.66094,               0.654,             0.26412,             0.03911,           0.0010871,                   0,             0.00065,             0.21109,              0.9614,             0.00043,              4.2696,             0.74471,             0.11595,             0.03999,             0.25855,              1.1733,             0.47079,             0.87037,                 0.2,              3.6468,                   0,             0.08557,             0.29982,             0.44815,             0.16723,                   0,             0.35647,                   0,                   0,                   0,                 0.5,             0.96031,             0.19487,             0.11498,                   1,              4.7206
             0.70173,             0.65632,              0.6302,             0.26053,            0.040717,          0.00069235,                   0,             0.00072,             0.23117,                0.98,             0.00058,              3.7123,             0.77564,             0.09769,             0.04501,             0.23883,              1.3185,             0.30729,              1.2555,                 0.2,              3.4844,                   0,             0.09007,             0.29429,              0.5398,             0.13981,                   0,             0.41354,                   0,                   0,                   0,                 0.5,                   1,             0.24232,             0.11187,                   1,               2.838
             0.64557,             0.67382,             0.62321,             0.27177,            0.042814,           0.0011257,                   0,             0.00067,             0.22853,             0.92014,             0.00043,              3.8628,             0.71619,             0.10868,             0.04348,              0.2528,              1.0342,             0.54069,             0.80591,                 0.2,              3.4634,                   0,             0.09061,             0.30082,             0.41663,             0.16908,                   0,             0.36482,                   0,                   0,                   0,                 0.5,              0.9293,             0.19177,             0.11498,                   1,              4.6126
             0.62161,             0.63456,             0.57537,              0.2454,            0.043015,          0.00082763,                   0,             0.00069,             0.23556,             0.92719,             0.00042,              4.1689,             0.68642,             0.12348,             0.04505,             0.23735,             0.97216,             0.47427,             0.88257,                 0.2,              3.7142,                   0,             0.08557,             0.29466,             0.43043,               0.157,                   0,             0.39564,                   0,                   0,                   0,                 0.5,             0.95672,                 0.2,             0.11487,                   1,              3.1918
             0.68427,             0.66094,             0.59578,             0.25103,             0.04138,          0.00088275,                   0,             0.00064,             0.24515,             0.92241,             0.00044,              4.2864,             0.75661,             0.12661,             0.04351,             0.25855,             0.96361,             0.51401,             0.96644,                 0.2,              3.6172,                   0,             0.06881,             0.32214,             0.37522,             0.16723,                   0,             0.35647,                   0,                   0,                   0,                 0.5,                   1,                 0.2,             0.12747,                   1,              3.9967
